gene_id,c1,c2,c3,cd1,cd2,cu1,cu2
NIS_RS06930,27889,34781,73142,10041,7586,23971,24798
NIS_RS06935,77674,120050,153836,42313,35892,52205,50623
NIS_RS06940,976,687,2153,740,761,1900,889
NIS_RS06945,2941,833,2497,1207,918,1054,426
NIS_RS06950,507,191,552,143,159,351,187
NIS_RS06955,6329,2749,6587,2075,1904,8214,4519
NIS_RS06960,2070,746,1401,357,297,3398,1389
NIS_RS06965,1717,612,857,264,258,3035,1413
NIS_RS06970,387,130,222,52,36,304,92
NIS_RS06975,1367,433,1268,401,238,1484,394
NIS_RS06980,1592,619,1975,546,339,1318,888
NIS_RS06985,766,414,979,347,270,413,156
NIS_RS06990,6322,2881,3971,1207,920,13189,5843
NIS_RS06995,14211,7124,13129,4689,3881,21861,15199
NIS_RS07000,3729,2476,4774,2199,1911,2264,1745
